"","step","Context","Subject","T4_count","T4_percent"
"686",8,"Tone1","X15",4,0.571428571428571
"687",7,"Tone1","X15",6,0.857142857142857
"688",6,"Tone1","X15",3,0.428571428571429
"689",5,"Tone1","X15",6,0.857142857142857
"690",4,"Tone1","X15",6,0.857142857142857
"691",3,"Tone1","X15",6,0.857142857142857
"692",2,"Tone1","X15",7,1
"693",1,"Tone1","X15",6,0.857142857142857
"694",11,"Tone2","X15",0,0
"695",10,"Tone2","X15",0,0
"696",9,"Tone2","X15",0,0
"697",8,"Tone2","X15",0,0
"698",7,"Tone2","X15",0,0
"699",6,"Tone2","X15",1,0.142857142857143
"700",5,"Tone2","X15",0,0
"701",4,"Tone2","X15",0,0
"702",3,"Tone2","X15",1,0.142857142857143
"703",2,"Tone2","X15",2,0.285714285714286
"704",1,"Tone2","X15",4,0.571428571428571
"705",11,"Tone4","X15",4,0.571428571428571
"706",10,"Tone4","X15",5,0.714285714285714
"707",9,"Tone4","X15",6,0.857142857142857
"708",8,"Tone4","X15",7,1
"709",7,"Tone4","X15",7,1
"710",6,"Tone4","X15",7,1
"711",5,"Tone4","X15",7,1
"712",4,"Tone4","X15",7,1
"713",3,"Tone4","X15",7,1
"714",2,"Tone4","X15",7,1
"715",1,"Tone4","X15",7,1
"716",11,"Tone1","X21",0,0
"717",10,"Tone1","X21",0,0
"718",9,"Tone1","X21",1,0.142857142857143
"719",8,"Tone1","X21",2,0.285714285714286
